LEGACY_UNIT_OF_MEASUREMENT	UNIT_OF_MEASUREMENT	DIMENSION_KEY	EXT_UOM_COMM_FORM_TXT_GBL	EXT_UOM_COMM_FORM_TXT_LCL	DI_TIMESTAMP										
WCH	WCH	TIME	Time	Zeit	2017.07.06 08:56:49										
WMK	WMK	THCOND	Heat Conductivity	Wärmeleitfähigkeit	2017.07.06 08:56:49										
WTL	WTL	EVARA	Evaporation Rate	Verdampfungsgeschw.	2017.07.06 08:56:49										
YD	YD	LENGTH	Length	Länge	2017.07.06 08:56:49										
YD2	YD2	SURFAC	Area	Fläche	2017.07.06 08:56:49										
YD3	YD3	VOLUME	Volume	Volumen	2017.07.06 08:56:49										
bJH	bJH	POWER	Power	Leistung	2017.07.06 08:56:49										
bMO	bMO	POWER	Power	Leistung	2017.07.06 08:56:49										
bbl	bbl	PRESS	Pressure	Druck	2017.07.06 08:56:49										
bft	bft	PRESS	Pressure	Druck	2017.07.06 08:56:49										
bgl	bgl	PRESS	Pressure	Druck	2017.07.06 08:56:49										
bsc	bsc	PRESS	Pressure	Druck	2017.07.06 08:56:49										
btl	btl	SPENER	Specific energy	Spezifische Energie	2017.07.06 08:56:49										
fcm	fcm	TKONZ	Particle concentrat.	Teilchenkonzentratio	2017.07.06 08:56:49										
fm3	fm3	TKONZ	Particle concentrat.	Teilchenkonzentratio	2017.07.06 08:56:49										
fml	fml	TKONZ	Particle concentrat.	Teilchenkonzentratio	2017.07.06 08:56:49										
gj3	gj3	PRESS	Pressure	Druck	2017.07.06 08:56:49										
gjm	gjm	PRESS	Pressure	Druck	2017.07.06 08:56:49										
gjt	gjt	SPENER	Specific energy	Spezifische Energie	2017.07.06 08:56:49										
jm3	jm3	PRESS	Pressure	Druck	2017.07.06 08:56:49										
kgb	kgb	DENSI	Density	Dichte	2017.07.06 08:56:49										
kgg	kgg	DENSI	Density	Dichte	2017.07.06 08:56:49										
kgj	kgj	MAPER	Mass per Energy	Masse pro Energie	2017.07.06 08:56:49										
kgm	kgm	MAPER	Mass per Energy	Masse pro Energie	2017.07.06 08:56:49										
kgs	kgs	DENSI	Density	Dichte	2017.07.06 08:56:49										
kgt	kgt	MPROPO	Mass Proportion	Massenverhältnis	2017.07.06 08:56:49										
kml	kml	MOLMAS	Molar Mass	Molmasse	2017.07.06 08:56:49										
kwk	kwk	SPENER	Specific energy	Spezifische Energie	2017.07.06 08:56:49										
lbb	lbb	MAPER	Mass per Energy	Masse pro Energie	2017.07.06 08:56:49										
lbg	lbg	DENSI	Density	Dichte	2017.07.06 08:56:49										
lbl	lbl	MOLMAS	Molar Mass	Molmasse	2017.07.06 08:56:49										
lbm	lbm	MAPER	Mass per Energy	Masse pro Energie	2017.07.06 08:56:49										
lbs	lbs	DENSI	Density	Dichte	2017.07.06 08:56:49										
lbt	lbt	MPROPO	Mass Proportion	Massenverhältnis	2017.07.06 08:56:49										
lcm	lcm	VPROPO	Volume proportion	Volumenverhältnis	2017.07.06 08:56:49										
lhh	lhh	MAPER	Mass per Energy	Masse pro Energie	2017.07.06 08:56:49										
lht	lht	MAPER	Mass per Energy	Masse pro Energie	2017.07.06 08:56:49										
lmf	lmf	DENSI	Density	Dichte	2017.07.06 08:56:49										
lmg	lmg	DENSI	Density	Dichte	2017.07.06 08:56:49										
ltb	ltb	DENSI	Density	Dichte	2017.07.06 08:56:49										
ltf	ltf	DENSI	Density	Dichte	2017.07.06 08:56:49										
ltg	ltg	DENSI	Density	Dichte	2017.07.06 08:56:49										
lth	lth	MAPER	Mass per Energy	Masse pro Energie	2017.07.06 08:56:49										
mHg	mHg	PRESS	Pressure	Druck	2017.07.06 08:56:49										
mbb	mbb	PRESS	Pressure	Druck	2017.07.06 08:56:49										
mbg	mbg	PRESS	Pressure	Druck	2017.07.06 08:56:49										
mbk	mbk	SPENER	Specific energy	Spezifische Energie	2017.07.06 08:56:49										
mbl	mbl	SPENER	Specific energy	Spezifische Energie	2017.07.06 08:56:49										
mbm	mbm	PRESS	Pressure	Druck	2017.07.06 08:56:49										
mbs	mbs	PRESS	Pressure	Druck	2017.07.06 08:56:49										
mbt	mbt	SPENER	Specific energy	Spezifische Energie	2017.07.06 08:56:49										
mjm	mjm	PRESS	Pressure	Druck	2017.07.06 08:56:49										
mmB	mmB	ENERGY	Energy	Energie	2017.07.06 08:56:49										
nQ	nQ	DENSI	Density	Dichte	2017.07.06 08:56:49										
pQ	pQ	DENSI	Density	Dichte	2017.07.06 08:56:49										
