LEGACY_REGION	REGION	COUNTRY	REGION_TXT_GBL	REGION_TXT_LCL	DI_TIMESTAMP										
062	062	SI	Ljubno	Ljubno	2018.06.19 05:33:47										
063	063	LV	Mērsrags	Mersrags	2018.06.19 05:33:47										
063	063	MN	Dornogovĭ	Dorno-Govi	2018.06.19 05:33:47										
063	063	SI	Ljutomer	Ljutomer	2018.06.19 05:33:47										
064	064	LV	Naukšēni	Naukseni	2018.06.19 05:33:47										
064	064	MN	Govĭ-Sümber	Govi-Sumber	2018.06.19 05:33:47										
064	064	SI	Logatec	Logatec	2018.06.19 05:33:47										
065	065	LV	Nereta	Nereta	2018.06.19 05:33:47										
065	065	MN	Govĭ-Altay	Govi-Altay	2018.06.19 05:33:47										
065	065	SI	Loska dolina	Loska dolina	2018.06.19 05:33:47										
066	066	LV	Nīca	Nica	2018.06.19 05:33:47										
066	066	SI	Loski Potok	Loski Potok	2018.06.19 05:33:47										
067	067	LV	Ogre	Ogre	2018.06.19 05:33:47										
067	067	MN	Bulgan	Bulgan	2018.06.19 05:33:47										
067	067	SI	Luce	Luce	2018.06.19 05:33:47										
068	068	LV	Olaine	Olaine	2018.06.19 05:33:47										
